23 апр. 2025 22:41:43,939 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1663731305
23 апр. 2025 22:41:43,939 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1114377537
23 апр. 2025 23:00:58,658 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@95971652
23 апр. 2025 23:00:59,720 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1689458432
23 апр. 2025 23:00:59,721 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@95971652
23 апр. 2025 23:00:59,988 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1102097996
23 апр. 2025 23:01:02,962 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@133090321
23 апр. 2025 23:01:02,965 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@634010046
23 апр. 2025 23:01:02,969 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@697905804
23 апр. 2025 23:01:03,519 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1530980564
23 апр. 2025 23:01:03,597 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2093751211
23 апр. 2025 23:01:03,607 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1626324155
23 апр. 2025 23:01:06,922 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@634010046
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1530980564
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@697905804
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@133090321
23 апр. 2025 23:01:06,955 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@176600872
23 апр. 2025 23:01:08,606 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@813986327
23 апр. 2025 23:01:08,635 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@813986327
23 апр. 2025 23:01:08,635 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@176600872
23 апр. 2025 23:01:08,660 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1689458432
23 апр. 2025 23:01:28,366 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@748111329
23 апр. 2025 23:01:28,371 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1533650993
23 апр. 2025 23:01:28,762 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1533650993
23 апр. 2025 23:01:28,833 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@692369219
23 апр. 2025 23:01:28,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@387135015
23 апр. 2025 23:01:29,011 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@387135015
